"No.","Time","Source","Destination","Protocol","Length","Info"
"95","0.893007","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","HTTP","244","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"96","0.893193","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","TCP","74","61100  >  80 [ACK] Seq=681 Ack=14128 Win=65280 Len=0"
"97","0.908974","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=553 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 98]"
"98","0.908974","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","318","Application Data"
"99","0.909139","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=2177 Win=255 Len=0"
"100","0.909622","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1026","Application Data"
"101","0.909622","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=3129 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 104]"
"102","0.909746","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=4509 Win=255 Len=0"
"103","0.958610","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=4509 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 104]"
"104","0.958610","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","514","Application Data"
"105","0.958950","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=6329 Win=255 Len=0"
"106","0.968451","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=6329 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 108]"
"107","0.968451","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=7709 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 108]"
"108","0.968451","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1441","Application Data"
"109","0.968451","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","111","Application Data"
"110","0.968451","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=10493 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 113]"
"111","0.968451","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=11873 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 113]"
"112","0.968814","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=13253 Win=255 Len=0"
"113","0.971314","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1385","Application Data"
"114","0.971314","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","155","Application Data"
"115","0.971314","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=14645 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 117]"
"116","0.971314","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=16025 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 117]"
"117","0.971314","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1441","Application Data"
"118","0.971314","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","111","Application Data"
"119","0.971554","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=18809 Win=255 Len=0"
"120","0.971987","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=18809 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 122]"
"121","0.971987","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=20189 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 122]"
"122","0.971987","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1385","Application Data"
"123","0.972155","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=22880 Win=255 Len=0"
"124","0.972342","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","155","Application Data"
"125","0.972342","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=22961 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 139]"
"126","0.972457","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=24341 Win=255 Len=0"
"127","0.999764","10.111.196.155","10.111.196.144","DNS","94","Standard query 0x7e20 HTTPS res.public.onecdn.static.microsoft"
"128","1.000668","10.111.196.155","10.111.196.144","DNS","94","Standard query 0x3429 AAAA res.public.onecdn.static.microsoft"
"129","1.001341","10.111.196.155","10.111.196.144","DNS","94","Standard query 0x3729 A res.public.onecdn.static.microsoft"
"130","1.016468","10.111.196.155","10.111.196.144","DNS","77","Standard query 0x1e13 HTTPS portal.office.com"
